days,dt,cur_time_in_gmt,cpu_utilization_pctg,hour
3/4/2017 7:00,3/4/2017,3/4/2017 7:00,46.667,7
3/4/2017 8:00,3/4/2017,3/4/2017 8:00,43.611,8
3/4/2017 9:00,3/4/2017,3/4/2017 9:00,31.579,9
3/4/2017 10:00,3/4/2017,3/4/2017 10:00,25.278,10
3/4/2017 11:00,3/4/2017,3/4/2017 11:00,28.611,11
3/4/2017 12:00,3/4/2017,3/4/2017 12:00,18.056,12
3/4/2017 13:00,3/4/2017,3/4/2017 13:00,13.056,13
3/4/2017 14:00,3/4/2017,3/4/2017 14:00,14.167,14
3/4/2017 15:00,3/4/2017,3/4/2017 15:00,14.127,15
3/4/2017 16:00,3/4/2017,3/4/2017 16:00,15,16
3/4/2017 17:00,3/4/2017,3/4/2017 17:00,15.278,17
3/4/2017 18:00,3/4/2017,3/4/2017 18:00,16.111,18
3/4/2017 19:00,3/4/2017,3/4/2017 19:00,16.389,19
3/4/2017 20:00,3/4/2017,3/4/2017 20:00,15.833,20
3/4/2017 21:00,3/4/2017,3/4/2017 21:00,15.789,21
3/4/2017 22:00,3/4/2017,3/4/2017 22:00,16.111,22
3/4/2017 23:00,3/4/2017,3/4/2017 23:00,16.667,23
3/5/2017 0:00,3/4/2017,3/5/2017 0:00,25,0
3/5/2017 1:00,3/4/2017,3/5/2017 1:00,45,1
3/5/2017 2:00,3/4/2017,3/5/2017 2:00,20,2
3/5/2017 3:00,3/4/2017,3/5/2017 3:00,18.889,3
3/5/2017 4:00,3/4/2017,3/5/2017 4:00,18.837,4
3/5/2017 5:00,3/4/2017,3/5/2017 5:00,19.722,5
3/5/2017 6:00,3/5/2017,3/5/2017 6:00,19.722,6
3/5/2017 7:00,3/5/2017,3/5/2017 7:00,26.667,7
3/5/2017 8:00,3/5/2017,3/5/2017 8:00,23.056,8
3/5/2017 9:00,3/5/2017,3/5/2017 9:00,21.944,9
3/5/2017 10:00,3/5/2017,3/5/2017 10:00,21.607,10
3/5/2017 11:00,3/5/2017,3/5/2017 11:00,21.944,11
3/5/2017 12:00,3/5/2017,3/5/2017 12:00,21.389,12
3/5/2017 13:00,3/5/2017,3/5/2017 13:00,21.667,13
3/5/2017 14:00,3/5/2017,3/5/2017 14:00,23.889,14
3/5/2017 15:00,3/5/2017,3/5/2017 15:00,23.889,15
3/5/2017 16:00,3/5/2017,3/5/2017 16:00,28.333,16
3/5/2017 17:00,3/5/2017,3/5/2017 17:00,27.978,17
3/5/2017 18:00,3/5/2017,3/5/2017 18:00,26.111,18
3/5/2017 19:00,3/5/2017,3/5/2017 19:00,24.444,19
3/5/2017 20:00,3/5/2017,3/5/2017 20:00,22.5,20
3/5/2017 21:00,3/5/2017,3/5/2017 21:00,20,21
3/5/2017 22:00,3/5/2017,3/5/2017 22:00,21.111,22
3/5/2017 23:00,3/5/2017,3/5/2017 23:00,19.114,23
3/6/2017 0:00,3/5/2017,3/6/2017 0:00,28.333,0
3/6/2017 1:00,3/5/2017,3/6/2017 1:00,46.944,1
3/6/2017 2:00,3/5/2017,3/6/2017 2:00,19.722,2
3/6/2017 3:00,3/5/2017,3/6/2017 3:00,16.944,3
3/6/2017 4:00,3/5/2017,3/6/2017 4:00,19.167,4
3/6/2017 5:00,3/5/2017,3/6/2017 5:00,21.389,5
3/6/2017 6:00,3/6/2017,3/6/2017 6:00,21.389,6
3/6/2017 7:00,3/6/2017,3/6/2017 7:00,25.556,7
3/6/2017 8:00,3/6/2017,3/6/2017 8:00,31.111,8
3/6/2017 9:00,3/6/2017,3/6/2017 9:00,40.556,9
3/6/2017 10:00,3/6/2017,3/6/2017 10:00,51.111,10
3/6/2017 11:00,3/6/2017,3/6/2017 11:00,53.056,11
3/6/2017 12:00,3/6/2017,3/6/2017 12:00,60.665,12
3/6/2017 13:00,3/6/2017,3/6/2017 13:00,73.611,13
3/6/2017 14:00,3/6/2017,3/6/2017 14:00,81.667,14
3/6/2017 15:00,3/6/2017,3/6/2017 15:00,56.944,15
3/6/2017 16:00,3/6/2017,3/6/2017 16:00,67.222,16
3/6/2017 17:00,3/6/2017,3/6/2017 17:00,63.333,17
3/6/2017 18:00,3/6/2017,3/6/2017 18:00,54.294,18
3/6/2017 19:00,3/6/2017,3/6/2017 19:00,48.056,19
3/6/2017 20:00,3/6/2017,3/6/2017 20:00,42.5,20
3/6/2017 21:00,3/6/2017,3/6/2017 21:00,39.722,21
3/6/2017 22:00,3/6/2017,3/6/2017 22:00,53.056,22
3/6/2017 23:00,3/6/2017,3/6/2017 23:00,44.167,23
3/7/2017 0:00,3/6/2017,3/7/2017 0:00,45,0
3/7/2017 1:00,3/6/2017,3/7/2017 1:00,59.28,1
3/7/2017 2:00,3/6/2017,3/7/2017 2:00,53.889,2
3/7/2017 3:00,3/6/2017,3/7/2017 3:00,64.444,3
3/7/2017 4:00,3/6/2017,3/7/2017 4:00,51.111,4
3/7/2017 5:00,3/6/2017,3/7/2017 5:00,35.833,5
3/7/2017 6:00,3/7/2017,3/7/2017 6:00,35.833,6
3/7/2017 7:00,3/7/2017,3/7/2017 7:00,29.917,7
3/7/2017 8:00,3/7/2017,3/7/2017 8:00,36.389,8
3/7/2017 9:00,3/7/2017,3/7/2017 9:00,40.278,9
3/7/2017 10:00,3/7/2017,3/7/2017 10:00,49.444,10
3/7/2017 11:00,3/7/2017,3/7/2017 11:00,53.889,11
3/7/2017 12:00,3/7/2017,3/7/2017 12:00,61.389,12
3/7/2017 13:00,3/7/2017,3/7/2017 13:00,74.515,13
3/7/2017 14:00,3/7/2017,3/7/2017 14:00,82.5,14
3/7/2017 15:00,3/7/2017,3/7/2017 15:00,57.222,15
3/7/2017 16:00,3/7/2017,3/7/2017 16:00,64.167,16
3/7/2017 17:00,3/7/2017,3/7/2017 17:00,63.056,17
3/7/2017 18:00,3/7/2017,3/7/2017 18:00,55.833,18
3/7/2017 19:00,3/7/2017,3/7/2017 19:00,49.722,19
3/7/2017 20:00,3/7/2017,3/7/2017 20:00,41.828,20
3/7/2017 21:00,3/7/2017,3/7/2017 21:00,38.889,21
3/7/2017 22:00,3/7/2017,3/7/2017 22:00,51.944,22
3/7/2017 23:00,3/7/2017,3/7/2017 23:00,38.611,23
3/8/2017 0:00,3/7/2017,3/8/2017 0:00,44.444,0
3/8/2017 1:00,3/7/2017,3/8/2017 1:00,63.056,1
3/8/2017 2:00,3/7/2017,3/8/2017 2:00,59.834,2
3/8/2017 3:00,3/7/2017,3/8/2017 3:00,58.333,3
3/8/2017 4:00,3/7/2017,3/8/2017 4:00,48.889,4
3/8/2017 5:00,3/7/2017,3/8/2017 5:00,32.778,5
3/8/2017 6:00,3/8/2017,3/8/2017 6:00,32.778,6
3/8/2017 7:00,3/8/2017,3/8/2017 7:00,31.944,7
3/8/2017 8:00,3/8/2017,3/8/2017 8:00,29.722,8
3/8/2017 9:00,3/8/2017,3/8/2017 9:00,33.241,9
3/8/2017 10:00,3/8/2017,3/8/2017 10:00,46.667,10
3/8/2017 11:00,3/8/2017,3/8/2017 11:00,56.389,11
3/8/2017 12:00,3/8/2017,3/8/2017 12:00,59.444,12
3/8/2017 13:00,3/8/2017,3/8/2017 13:00,75.833,13
3/8/2017 14:00,3/8/2017,3/8/2017 14:00,84.444,14
3/8/2017 15:00,3/8/2017,3/8/2017 15:00,69.252,15
3/8/2017 16:00,3/8/2017,3/8/2017 16:00,77.5,16
3/8/2017 17:00,3/8/2017,3/8/2017 17:00,69.444,17
3/8/2017 18:00,3/8/2017,3/8/2017 18:00,56.667,18
3/8/2017 19:00,3/8/2017,3/8/2017 19:00,56.389,19
3/8/2017 20:00,3/8/2017,3/8/2017 20:00,45.556,20
3/8/2017 21:00,3/8/2017,3/8/2017 21:00,41.944,21
3/8/2017 22:00,3/8/2017,3/8/2017 22:00,54.848,22
3/8/2017 23:00,3/8/2017,3/8/2017 23:00,38.056,23
3/9/2017 0:00,3/8/2017,3/9/2017 0:00,43.611,0
3/9/2017 1:00,3/8/2017,3/9/2017 1:00,63.333,1
3/9/2017 2:00,3/8/2017,3/9/2017 2:00,58.056,2
3/9/2017 3:00,3/8/2017,3/9/2017 3:00,57.5,3
3/9/2017 4:00,3/8/2017,3/9/2017 4:00,46.814,4
3/9/2017 5:00,3/8/2017,3/9/2017 5:00,36.667,5
3/9/2017 6:00,3/9/2017,3/9/2017 6:00,36.667,6
